account_id,type,balance,season
1585,pstg,54620,2
1592,pstg,59730,2
1609,pstg,220862,2
1610,pstg,59730,2
1620,pstg,7240,2
1635,pstg,114935,2
1654,pstg,47060,2
1721,pstg,7780,2
1751,pstg,15040,2
1765,pstg,54300,2
1795,pstg,7795,2
1809,pstg,12670,2
1813,pstg,20735,2
1814,pstg,34070,2
1818,pstg,1601945,2
1821,pstg,67535,2
1824,pstg,193314,2
1829,pstg,37187,2
1832,pstg,245,2
1834,pstg,0,2
1835,pstg,1100,2
1845,pstg,751368,2
1868,pstg,68780,2
1873,pstg,0,2
1893,pstg,10800,2
1907,pstg,155925,2
1913,pstg,34860,2
1916,pstg,68286,2
1921,pstg,5614493,2
310,pstg,14145,2
1295,pstg,42010,2
1955,pstg,3030,2
1963,pstg,34080,2
1967,pstg,369756,2
1621,pstg,166954,2
1978,pstg,14000,2
1961,pstg,9740,2
2014,pstg,12260,2
380,pstg,207039,2
2019,pstg,35504,2
2028,pstg,174705,2
2043,pstg,10245,2
2047,pstg,11138,2
2063,pstg,33085,2
2072,pstg,28177,2
1826,pstg,0,2
2061,pstg,11830,2
417,pstg,313600,2
2219,pstg,13950,2
616,pstg,26450,2
1777,pstg,58974,2
2420,pstg,99724,2
2427,pstg,3187,2
2481,pstg,115831,2
2507,pstg,2688,2
2526,pstg,7426,2
2474,pstg,2833,2
2586,pstg,741,2
299,pstg,630,2
322,pstg,1920,2
329,pstg,2640,2
2594,pstg,1617,2
1851,pstg,3570,2
2671,pstg,589,2
